sigma_tot_claude,,sigma_HI_Chemin,,sigma_HI_Claude,,vcirc_chemin,,,vcirc_claude,,sigma_sfr,,molfrac,,,vdisp,
r kpc,sigma_tot,r arcmin,sigma_HI,r kpc,sigma_HI,r arcmin,vcirc kms,error kms,r kpc,vcirc kms,r kpc,sigma_sfr,r arcmin,molfrac,r arcsec,vdisp kms no_warp,vdisp kms warp
0,7652,1.67,2.77,0,0.001212,1.67,0,0,0,0,6.25,0.4,5.71,0.1084,100,17.1,12.05
0.48,4847,3.33,3.19,0.48,0.1975,3.33,0,0,0.48,150.97,6.75,0.43,6.744,0.3376,200,8.58,15.64
0.96,3022,5,4.21,0.96,0.3949,5,336.2,171.7,0.96,221.65,7.25,0.52,7.711,0.1946,300,12.94,15.7
1.44,1854,6.67,3.94,1.44,0.5924,6.67,324.6,125.1,1.44,247.13,7.75,0.41,8.698,0.1561,400,17.12,10.75
1.92,1275,8.33,4.49,1.92,0.7899,8.33,339,52.8,1.92,252.51,8.25,0.43,9.688,0.1423,500,12.99,8.71
2.4,952.9,10,2.14,2.4,0.9873,10,243.6,25.8,2.4,253.89,8.75,0.56,10.69,0.24,600,10.03,5.82
2.88,751.9,11.67,1.52,2.88,1.185,11.67,235.2,17,2.88,252.25,9.25,0.68,11.7,0.3307,700,13.13,6.08
3.36,622.4,13.33,1.51,3.36,1.382,13.33,238.9,5.7,3.36,251.54,9.75,0.75,12.7,0.35,800,15.38,8.23
3.84,523.2,15,1.57,3.84,1.596,15,239.3,18.3,3.84,251.64,10.25,0.86,13.69,0.3576,900,16.6,9.48
4.32,438.3,16.67,2.21,4.32,1.816,16.67,226.3,16.1,4.32,252.07,10.75,1,14.68,0.3107,1000,14.95,11.61
4.8,360.4,18.33,3,4.8,2.046,18.33,202.6,4.7,4.8,250.78,11.25,0.79,15.66,0.2238,1100,15.63,13.61
5.28,305.9,20,3.54,5.28,2.282,20,207.3,10.7,5.28,246,11.75,0.54,16.65,0.2415,1200,14.5,12.37
5.76,276.1,21.67,2.75,5.76,2.491,21.67,202.5,21.7,5.76,240.36,12.25,0.33,17.65,0.2569,1300,12.63,7.77
6.24,259.7,23.33,2.31,6.24,2.678,23.33,208.9,15.6,6.24,236.65,12.75,0.22,18.64,0.2723,1400,12.25,6.22
6.72,243.7,25,2.09,6.72,2.797,25,221.6,13.4,6.72,235.64,13.25,0.19,19.71,0.3061,1500,12.57,5.98
7.2,223.8,26.67,1.86,7.2,2.836,26.67,232.2,13.7,7.2,235.92,13.75,0.16,20.7,0.283,1600,12.51,5.38
7.68,201.8,28.33,1.41,7.68,2.96,28.33,237.6,8.3,7.68,235.76,14.25,0.12,21.7,0.2984,1700,13.53,5.47
8.16,183.1,30,1.43,8.16,3.228,30,239.8,2.2,8.16,233.72,14.75,0.07,22.69,0.2761,1800,13.79,6.62
8.64,174.1,31.67,1.6,8.64,3.525,31.67,235.6,6.1,8.64,230.73,15.25,0.08,23.68,0.2846,1900,13.93,8.16
9.12,166.8,33.33,2.07,9.12,3.895,33.33,241.7,3.3,9.12,229.63,15.75,0.1,24.69,0.3692,2000,13.21,8.31
9.6,158.9,35,2.84,9.6,4.232,35,244.3,6.4,9.6,228.34,16.25,0.09,25.69,0.42,2100,11.56,8.67
10.08,158.9,36.67,3.85,10.08,4.438,36.67,248.8,6.4,10.08,228.24,16.75,0.09,26.68,0.3869,2200,10.87,9.3
10.56,153,38.33,4.61,10.56,4.621,38.33,251.8,5.5,10.56,230.8,,,27.65,0.2853,2300,10.81,9.67
11.04,144.4,40,4.39,11.04,4.7,40,253,9.2,11.04,233.99,,,28.64,0.2292,2400,11.06,8.51
11.52,134,41.67,3.78,11.52,4.771,41.67,258.8,9.6,11.52,236.79,,,29.69,0.1953,2500,11.77,7.51
12,123,43.33,3.34,12,4.829,43.33,259,9.5,12,238.75,,,30.68,0.1453,2600,11.12,6.32
12.48,113.8,45,3.16,12.48,4.886,45,262.2,10.8,12.48,239.8,,,30.68,0.1461,2700,12.21,6.13
12.96,105.9,46.67,3.37,12.96,4.926,46.67,266.8,13,12.96,240.51,,,31.67,0.1307,2800,12.12,6.52
13.44,99.15,48.33,4.34,13.44,4.96,48.33,266.8,11.7,13.44,241.17,,,32.66,0.1576,2900,12.12,9.29
13.92,93.26,50,5.02,13.92,4.721,50,265.9,9.9,13.92,241.85,,,33.66,0.1615,3000,11.7,10.66
14.4,88.44,51.67,4.95,14.4,4.424,51.67,264.4,7.2,14.4,242.65,,,34.65,0.163,3100,11.41,11.48
14.88,83.97,53.33,4.45,14.88,3.954,53.33,264.7,5.3,14.88,244.03,,,35.64,0.1446,3200,11.7,10.77
15.36,78.13,55,4.03,15.36,3.421,55,265.3,5.4,15.36,245.74,,,36.63,0.1361,3300,12.54,10.61
15.84,70.83,56.67,3.98,15.84,2.932,56.67,265.2,3.9,15.84,247.2,,,37.7,0.1653,3400,12.15,11.23
16.32,63.49,58.33,3.91,16.32,2.467,58.33,262,2.4,16.32,247.87,,,38.62,0.1569,3500,11.65,12.05
16.8,56.94,60,3.67,16.8,2.11,60,260.8,4.5,16.8,247.59,,,39.61,0.153,3600,11.18,11.8
17.28,51.97,61.67,3.39,17.28,1.831,61.67,259.2,5.4,17.28,246.79,,,40.68,0.1715,3700,11.21,11.42
17.76,47.87,63.33,3.37,17.76,1.661,63.33,258.1,6.8,17.76,245.9,,,41.68,0.1892,3800,11.36,10.91
18.24,43.86,65,3.01,18.24,1.583,65,258.4,6.1,18.24,245.12,,,42.67,0.2061,3900,11.72,8.56
18.72,39.59,66.67,2.61,18.72,1.537,66.67,259.2,4.6,18.72,244.22,,,43.67,0.2169,4000,10.62,6.32
19.2,36.29,68.33,2.39,19.2,1.526,68.33,262.7,4.2,19.2,243.14,,,44.66,0.2107,4100,10.23,5.45
19.68,33.49,70,2,19.68,1.506,70,266.1,4,19.68,242.09,,,45.65,0.2046,4200,10.47,4.81
20.16,30.85,71.67,1.92,20.16,1.468,71.67,270,2.3,20.16,241.13,,,46.65,0.2084,4300,10.62,5.43
20.64,28.15,73.33,1.79,20.64,1.429,73.33,269.8,1,20.64,240.15,,,47.64,0.2107,4400,10.65,6.68
21.12,25.99,75,2.21,21.12,1.391,75,269.1,3.9,21.12,239.12,,,48.63,0.2023,4500,9.76,10.43
21.6,24.2,76.67,1.91,21.6,1.334,76.67,268.5,7.1,21.6,238.18,,,49.62,0.193,4600,10.82,10.71
22.08,22.52,78.33,1.74,22.08,1.24,78.33,263,15,22.08,237.41,,,50.68,0.1846,4700,11.45,10.95
22.56,20.42,80,1.6,22.56,1.134,80,257.1,13.5,22.56,236.67,,,51.68,0.1838,4800,10.92,10.25
23.04,18.49,81.67,1.44,23.04,1.012,81.67,254.1,10.6,23.04,235.8,,,52.67,0.1746,4900,10.91,9.16
23.52,16.91,83.33,1.35,23.52,0.8889,83.33,251.9,11.1,23.52,234.78,,,53.66,0.1684,5000,10.46,8.87
24,15.58,85,1.24,24,0.7868,85,249.5,8.1,24,233.72,,,54.65,0.1507,5100,10.01,9.05
24.48,14.3,86.67,1.15,24.48,0.6936,86.67,245.7,7.4,24.48,232.66,,,55.64,0.1292,5200,10.04,8.72
24.96,13.11,88.33,1.18,24.96,0.6259,88.33,243.7,6.6,24.96,231.61,,,56.63,0.1069,5300,9.86,8.98
25.44,12.05,90,1.1,25.44,0.5683,90,245.9,7.5,25.44,230.55,,,57.62,0.08923,5400,9.94,8.49
25.92,11.41,91.67,1.08,25.92,0.5107,91.67,242.3,6.1,25.92,229.56,,,58.68,0.07384,5500,10.17,9.61
26.4,10.4,93.33,0.83,26.4,0.4532,93.33,239.2,6.3,26.4,228.63,,,59.6,0.06538,5600,9.86,6.84
26.88,9.532,95,0.75,26.88,0.3956,95,239.5,4.7,26.88,227.7,,,60.59,0.06307,5700,9.55,6.16
27.36,9.259,96.67,0.76,27.36,0.3411,96.67,236.1,1.8,27.36,226.84,,,61.58,0.06,5800,9.72,6.88
27.84,8.529,98.33,0.88,27.84,0.2969,98.33,233.8,1.7,27.84,226.1,,,62.65,0.05,5900,9.79,9.87
28.32,7.806,100,0.82,28.32,0.2634,100,233.1,3.3,28.32,225.41,,,63.57,0.04307,6000,10.15,9.87
28.8,7.141,101.67,0.75,28.8,0.2298,101.67,230.1,5.5,28.8,224.72,,,64.63,0.03615,6100,9.82,9.85
29.28,6.533,103.33,0.67,29.28,0.1962,103.33,232.1,5,29.28,224.02,,,65.69,0.03461,6200,9.76,8.62
29.76,5.976,105,0.58,29.76,0.1736,105,228.7,1.7,29.76,223.31,,,66.61,0.03384,6300,9.86,7.97
30.24,5.466,106.67,0.49,30.24,0.1581,106.67,229.1,1.8,30.24,222.62,,,67.61,0.03615,6400,9.37,7.54
30.72,4.998,108.33,0.43,30.72,0.1437,108.33,227.9,5,30.72,221.94,,,68.53,0.03384,6500,9.73,7.19
31.2,4.568,110,0.42,31.2,0.1293,110,226.9,2,31.2,221.28,,,69.52,0.0323,6600,9.58,7.99
31.68,4.18,111.67,0.45,31.68,0.1149,111.67,225.1,1.6,31.68,220.64,,,70.59,0.0323,6700,9.66,8.3
32.16,3.826,113.33,0.46,32.16,0.1006,113.33,225.4,1.8,32.16,220.02,,,71.58,0.02846,6800,10.21,8.56
32.64,3.5,115,0.42,32.64,0.08617,115,230.3,2,32.64,219.42,,,72.57,0.02384,6900,10.21,7.14
33.12,3.201,116.67,0.39,33.12,0.07176,116.67,229,2.3,33.12,218.84,,,73.56,0.02153,7000,9.2,7.23
33.6,2.925,118.33,0.38,33.6,0.05736,118.33,229.9,4.8,33.6,218.28,,,74.55,0.0123,7100,8.95,7.85
34.08,2.677,120,0.29,34.08,0.04317,120,230.1,6.6,34.08,217.74,,,75.62,0.00923,7200,9.59,7.05
34.56,2.45,121.67,0.23,34.56,0.02953,121.67,229.8,3,34.56,217.22,,,76.61,0.008461,7300,10.2,7.49
35.04,2.241,123.33,0.2,35.04,0.02473,123.33,230.4,5.2,35.04,216.72,,,77.68,0.01846,7400,8.94,6.64
35.52,2.048,125,0.21,35.52,0.01993,125,230.9,2.9,35.52,216.24,,,78.6,0.01615,7500,9.01,8.34
36,1.874,126.67,0.17,36,0.01513,126.67,229.8,2.1,36,215.79,,,79.59,0.01307,7600,9.12,7.07
36.48,1.715,128.33,0.1,36.48,0.01034,128.33,228.8,1.8,36.48,215.36,,,,,7700,9.29,5.53
36.96,1.568,130,0.08,36.96,0.003429,130,238.3,3.3,36.96,214.95,,,,,7800,9.46,5.61
37.44,1.433,131.67,0.07,37.44,0,131.67,243.6,1.4,37.44,214.55,,,,,7900,9.8,4.06
37.92,1.313,133.33,0.07,37.92,0,133.33,247.3,3.1,37.92,214.19,,,,,8000,8.34,4.75
38.4,1.201,135,0.1,38.4,0,135,247.8,1.3,38.4,213.84,,,,,8100,9.01,8.15
38.88,1.096,136.67,0.08,38.88,0,136.67,248.4,2,38.88,213.51,,,,,8200,8.46,7.09
39.36,1.004,138.33,0.07,39.36,0,138.33,248.1,1.5,39.36,213.22,,,,,8300,8.98,5.89
39.84,0.9188,140,0.06,39.84,0,140,244.5,1.6,39.84,212.93,,,,,8400,7.7,6.24
40.32,0.8388,141.67,0.06,40.32,0,141.67,244.4,3,40.32,212.67,,,,,8500,7.99,5.59
40.8,0.7689,143.33,0.06,40.8,0,143.33,241.7,4.3,40.8,212.43,,,,,8600,7.04,5.59
41.28,0.703,145,0.02,41.28,0,145,237.7,1.9,41.28,212.2,,,,,8700,6.43,4.49
41.76,0.6424,146.67,0.01,41.76,0,146.67,237.6,6.1,41.76,212,,,,,8800,5.8,3.81
42.24,0.5885,148.33,0.01,42.24,0,148.33,244.9,3.6,42.24,211.82,,,,,8900,8.92,2.61
42.72,0.5375,150,0.01,42.72,0,150,247.9,3.2,42.72,211.66,,,,,9000,8.76,3.57
43.2,0.4922,151.67,0.02,43.2,0,151.67,256.3,3.1,43.2,211.53,,,,,9100,6.95,4.67
43.68,0.4503,153.33,0.03,43.68,0,153.33,253.5,4.1,43.68,211.42,,,,,9200,6.81,5.37
44.16,0.4112,155,0.02,44.16,0,155,244.3,4.7,44.16,211.32,,,,,9300,6.6,6.67
44.64,0.1963,156.67,0.02,44.64,0,156.67,249.3,5.8,44.64,211.19,,,,,9400,9.3,4.19
45.12,0,158.33,0.02,45.12,0,158.33,255.7,4.5,45.12,211.05,,,,,9500,13.69,5.09
45.6,0,160,0.02,45.6,0,160,255,5.8,45.6,210.85,,,,,9600,11.38,4.45
,,161.67,0.03,,,161.67,271.1,7.8,,,,,,,9700,6.81,4.4
,,163.33,0.03,,,163.33,269.8,4.7,,,,,,,9800,4.58,4.53
,,165,0.03,,,165,258.2,10.7,,,,,,,9900,9.05,5.62
,,166.67,0.02,,,166.67,275.1,4.8,,,,,,,10000,10.89,5.2
